assetCode,filename,source,destination,destHashBefore,destHashAfter,changed
pkr_brand_logo_mark_idle_v01,pkr_brand_logo_mark_idle_v01.png,/path/to/Desktop/A1-Inter-LLM-Com/The-New-Fuse/apps/casin8-games/assets/poker/incoming/pkr_brand_logo_mark_idle_v01.png,/path/to/Desktop/A1-Inter-LLM-Com/The-New-Fuse/apps/casin8-games/assets/poker/pkr_brand_logo_mark_idle_v01.png,0e9fd9111f4f7889260e6f317be4325e69871a177a72f9427377126746d64478,9131e1a54c5331243dc1a35acc76c4bdd7fff418331e4d69066eedc9c79234d3,yes
pkr_brand_wordmark_light_v01,pkr_brand_wordmark_light_v01.png,/path/to/Desktop/A1-Inter-LLM-Com/The-New-Fuse/apps/casin8-games/assets/poker/incoming/pkr_brand_wordmark_light_v01.png,/path/to/Desktop/A1-Inter-LLM-Com/The-New-Fuse/apps/casin8-games/assets/poker/pkr_brand_wordmark_light_v01.png,581da8b46739246b197bbcabb85abb5e38676a36e93c7c1013167da84d706f2a,5785e5d68810c815960b49eae07dfe72b16a46931354e4cdae6d0415be578483,yes
pkr_shell_bg_main_desktop_idle_v01,pkr_shell_bg_main_desktop_idle_v01.png,/path/to/Desktop/A1-Inter-LLM-Com/The-New-Fuse/apps/casin8-games/assets/poker/incoming/pkr_shell_bg_main_desktop_idle_v01.png,/path/to/Desktop/A1-Inter-LLM-Com/The-New-Fuse/apps/casin8-games/assets/poker/pkr_shell_bg_main_desktop_idle_v01.png,1626475f342720cf1516bc59322b42efb88e343c6c8db384cfcee13f8116a58f,65015fb2bb0794972781f516da8eb8e28e895489c315a116b443efcab1dffec9,yes
pkr_shell_bg_main_mobile_idle_v01,pkr_shell_bg_main_mobile_idle_v01.png,/path/to/Desktop/A1-Inter-LLM-Com/The-New-Fuse/apps/casin8-games/assets/poker/incoming/pkr_shell_bg_main_mobile_idle_v01.png,/path/to/Desktop/A1-Inter-LLM-Com/The-New-Fuse/apps/casin8-games/assets/poker/pkr_shell_bg_main_mobile_idle_v01.png,fb36d45fa0c3e2aeffbec8c6a91c6c868174b3fb8973ea9edac04c789edd9930,8ed76eef9b4eb331eb747ca3ad199bf4a385809071ec848a35106f00cc854b38,yes
pkr_table_felt_6max_topdown_idle_v01,pkr_table_felt_6max_topdown_idle_v01.png,/path/to/Desktop/A1-Inter-LLM-Com/The-New-Fuse/apps/casin8-games/assets/poker/incoming/pkr_table_felt_6max_topdown_idle_v01.png,/path/to/Desktop/A1-Inter-LLM-Com/The-New-Fuse/apps/casin8-games/assets/poker/pkr_table_felt_6max_topdown_idle_v01.png,26016c869cd3b0bbb38a2510ece211f66650f780a3d46639348f3b09761dc83f,40db836c5f2b2b5cdf108d4dad2a44b590b652f05d6d7fb428fb20b95018f0c3,yes
pkr_table_felt_9max_topdown_idle_v01,pkr_table_felt_9max_topdown_idle_v01.png,/path/to/Desktop/A1-Inter-LLM-Com/The-New-Fuse/apps/casin8-games/assets/poker/incoming/pkr_table_felt_9max_topdown_idle_v01.png,/path/to/Desktop/A1-Inter-LLM-Com/The-New-Fuse/apps/casin8-games/assets/poker/pkr_table_felt_9max_topdown_idle_v01.png,6297bce67a649ea2736a14755c16aac9936e90727ad3afc09140b24a36a1afbd,a4370618c720392117cdc12f995faaa64b275421a7b1883353e3fa4d05fcd271,yes
pkr_table_rail_material_closeup_v01,pkr_table_rail_material_closeup_v01.png,/path/to/Desktop/A1-Inter-LLM-Com/The-New-Fuse/apps/casin8-games/assets/poker/incoming/pkr_table_rail_material_closeup_v01.png,/path/to/Desktop/A1-Inter-LLM-Com/The-New-Fuse/apps/casin8-games/assets/poker/pkr_table_rail_material_closeup_v01.png,8f397f50edd9b5bfe020e3b04b0ff81c354f5597493563e4e079b6ce91078dcf,0a2ea224b7799d0eab4657c95373ad813e78e67d7a8a936be13cdc7a4a0d2fb1,yes
pkr_stage_cinematic_table_scene_v01,pkr_stage_cinematic_table_scene_v01.png,/path/to/Desktop/A1-Inter-LLM-Com/The-New-Fuse/apps/casin8-games/assets/poker/incoming/pkr_stage_cinematic_table_scene_v01.png,/path/to/Desktop/A1-Inter-LLM-Com/The-New-Fuse/apps/casin8-games/assets/poker/pkr_stage_cinematic_table_scene_v01.png,a94374c818bdbe05620ab159a3d0c6050cf8fabb91582a951baf641f953593ce,be32e894849bbe3914cebe64f5277885e94c56eb238c0a70d47d52b9a55d7fce,yes
pkr_chip_denom_1_idle_v01,pkr_chip_denom_1_idle_v01.png,/path/to/Desktop/A1-Inter-LLM-Com/The-New-Fuse/apps/casin8-games/assets/poker/incoming/pkr_chip_denom_1_idle_v01.png,/path/to/Desktop/A1-Inter-LLM-Com/The-New-Fuse/apps/casin8-games/assets/poker/pkr_chip_denom_1_idle_v01.png,c9e27eadcb5c874694b4ad2b5adc3d2cd90cd38b43a84ccb63188d317a70fb47,38bf9796da12777ac6a918d8c9b2f132c0f1281afc82d892b7f727d18afaea85,yes
pkr_chip_denom_5_idle_v01,pkr_chip_denom_5_idle_v01.png,/path/to/Desktop/A1-Inter-LLM-Com/The-New-Fuse/apps/casin8-games/assets/poker/incoming/pkr_chip_denom_5_idle_v01.png,/path/to/Desktop/A1-Inter-LLM-Com/The-New-Fuse/apps/casin8-games/assets/poker/pkr_chip_denom_5_idle_v01.png,bdad69f9eeba8af5941e3e87a3960bcebc93e2dd0af25049927fcc04517b58b1,c5e1a71bef2a074bd774c16bf8adff0803223996c05131b193f84dd97f593513,yes
