priority,filename,bytes,kb,groupName,expected
1,pkr_mobile_bottom_action_sheet_v01.png,8412,8.2,Mobile-First Specific Assets,1600x900
2,pkr_blind_level_timeline_v01.png,9049,8.8,Tournament-Specific Graphics,1600x900
3,pkr_panel_ledger_row_set_v01.png,9270,9.1,HUD Panels and Utility Components,1600x900
4,pkr_mobile_tabbar_pokerroom_v01.png,9285,9.1,Mobile-First Specific Assets,1600x900
5,pkr_panel_network_health_set_v01.png,9345,9.1,HUD Panels and Utility Components,1600x900
6,pkr_panel_sponsor_market_card_v01.png,9362,9.1,HUD Panels and Utility Components,1600x900
7,pkr_mobile_table_header_compact_v01.png,9435,9.2,Mobile-First Specific Assets,1600x900
8,pkr_mobile_hud_drawer_handle_v01.png,23018,22.5,Mobile-First Specific Assets,2048x2048
9,pkr_state_duplicate_action_guard_v01.png,23038,22.5,"Trust, Error, and Resilience States",2048x2048
10,pkr_state_settlement_pending_overlay_v01.png,23150,22.6,"Trust, Error, and Resilience States",2048x2048
11,pkr_btn_fold_set_v01.png,335981,328.1,Action Controls,2048x2048
12,pkr_btn_checkcall_set_v01.png,647322,632.2,Action Controls,2048x2048
13,pkr_quickbet_chip_row_v01.png,753181,735.5,Action Controls,2048x2048
14,pkr_slider_raise_track_set_v01.png,831740,812.2,Action Controls,2048x2048
15,pkr_panel_tx_lifecycle_idle_v01.png,1061847,1037.0,HUD Panels and Utility Components,1600x900
16,pkr_state_reconnecting_banner_v01.png,1118495,1092.3,"Trust, Error, and Resilience States",1600x900
17,pkr_btn_raise_primary_set_v01.png,1294787,1264.4,Action Controls,2048x2048
18,pkr_panel_fairness_idle_v01.png,1431504,1398.0,HUD Panels and Utility Components,1600x900
19,pkr_payout_ladder_panel_v01.png,1778968,1737.3,Tournament-Specific Graphics,1600x900
20,pkr_final_table_banner_v01.png,2046495,1998.5,Tournament-Specific Graphics,1600x900
21,pkr_elimination_burst_fx_v01.png,2118938,2069.3,Tournament-Specific Graphics,2048x2048
22,pkr_state_chain_mismatch_card_v01.png,2283966,2230.4,"Trust, Error, and Resilience States",2048x2048
